date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-07-02,2013,7,2,S06,S06,Paya Lebar Meteorological Station,6.5,,31.1,24.2,11.0,37.1
2013-07-03,2013,7,3,S06,S06,Paya Lebar Meteorological Station,0.0,,32.6,26.3,10.8,25.9
2013-07-04,2013,7,4,S06,S06,Paya Lebar Meteorological Station,11.0,,30.3,25.2,7.6,37.1
2013-07-05,2013,7,5,S06,S06,Paya Lebar Meteorological Station,0.0,,31.5,25.6,8.3,29.5
2013-07-06,2013,7,6,S06,S06,Paya Lebar Meteorological Station,0.0,,31.7,27.4,13.3,35.3
2013-07-07,2013,7,7,S06,S06,Paya Lebar Meteorological Station,3.0,,32.3,26.4,11.7,40.7
2013-07-08,2013,7,8,S06,S06,Paya Lebar Meteorological Station,55.4,,32.4,22.6,8.8,31.3
2013-07-09,2013,7,9,S06,S06,Paya Lebar Meteorological Station,11.2,,28.6,23.5,11.8,35.3
2013-07-10,2013,7,10,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,26.4,11.7,31.3
2013-07-11,2013,7,11,S06,S06,Paya Lebar Meteorological Station,11.7,,31.0,24.9,4.9,35.3
2013-07-12,2013,7,12,S06,S06,Paya Lebar Meteorological Station,0.4,,32.6,25.5,9.2,35.3
2013-07-13,2013,7,13,S06,S06,Paya Lebar Meteorological Station,1.5,,31.1,25.9,9.0,27.7
2013-07-14,2013,7,14,S06,S06,Paya Lebar Meteorological Station,4.2,,30.0,25.0,4.9,35.3
2013-07-15,2013,7,15,S06,S06,Paya Lebar Meteorological Station,0.1,,32.8,24.9,10.1,35.3
2013-07-16,2013,7,16,S06,S06,Paya Lebar Meteorological Station,0.4,,32.4,25.7,6.1,31.3
2013-07-17,2013,7,17,S06,S06,Paya Lebar Meteorological Station,35.0,,31.0,24.4,7.9,40.7
2013-07-18,2013,7,18,S06,S06,Paya Lebar Meteorological Station,3.8,,27.6,24.8,10.4,25.9
2013-07-19,2013,7,19,S06,S06,Paya Lebar Meteorological Station,0.0,,31.6,25.2,10.9,29.5
2013-07-20,2013,7,20,S06,S06,Paya Lebar Meteorological Station,0.0,,33.2,26.2,10.5,29.5
2013-07-21,2013,7,21,S06,S06,Paya Lebar Meteorological Station,0.0,,34.6,26.9,9.6,31.3
2013-07-22,2013,7,22,S06,S06,Paya Lebar Meteorological Station,0.0,,33.8,27.3,13.1,35.3
2013-07-23,2013,7,23,S06,S06,Paya Lebar Meteorological Station,0.0,,32.7,27.8,14.1,33.5
2013-07-24,2013,7,24,S06,S06,Paya Lebar Meteorological Station,0.0,,33.0,26.3,11.7,33.5
2013-07-25,2013,7,25,S06,S06,Paya Lebar Meteorological Station,0.0,,31.8,26.1,12.0,31.3
2013-07-26,2013,7,26,S06,S06,Paya Lebar Meteorological Station,30.6,,31.5,24.6,9.6,40.7
2013-07-27,2013,7,27,S06,S06,Paya Lebar Meteorological Station,9.1,,27.8,23.8,7.0,38.9
2013-07-28,2013,7,28,S06,S06,Paya Lebar Meteorological Station,0.0,,32.6,24.8,9.2,27.7
2013-07-29,2013,7,29,S06,S06,Paya Lebar Meteorological Station,3.5,,30.2,25.5,9.3,35.3
2013-07-30,2013,7,30,S06,S06,Paya Lebar Meteorological Station,0.0,,31.2,26.1,10.2,38.9
2013-07-31,2013,7,31,S06,S06,Paya Lebar Meteorological Station,33.6,,32.0,22.5,15.1,33.5
2013-08-01,2013,8,1,S06,S06,Paya Lebar Meteorological Station,13.8,,30.0,22.8,12.3,29.5
2013-08-02,2013,8,2,S06,S06,Paya Lebar Meteorological Station,0.0,,29.8,25.2,10.8,27.7
2013-08-03,2013,8,3,S06,S06,Paya Lebar Meteorological Station,0.0,,32.2,27.2,10.5,27.7
2013-08-04,2013,8,4,S06,S06,Paya Lebar Meteorological Station,12.9,,31.1,24.0,11.6,38.9
2013-08-05,2013,8,5,S06,S06,Paya Lebar Meteorological Station,37.0,,29.9,23.4,11.3,35.3
2013-08-06,2013,8,6,S06,S06,Paya Lebar Meteorological Station,0.8,,31.7,25.7,10.0,29.5
2013-08-07,2013,8,7,S06,S06,Paya Lebar Meteorological Station,19.4,,32.0,23.9,11.6,31.3
2013-08-08,2013,8,8,S06,S06,Paya Lebar Meteorological Station,0.3,,28.4,24.0,12.9,44.3
2013-08-09,2013,8,9,S06,S06,Paya Lebar Meteorological Station,1.0,,33.0,23.9,9.2,24.1
2013-08-10,2013,8,10,S06,S06,Paya Lebar Meteorological Station,38.4,,31.6,22.0,10.8,40.7
2013-08-11,2013,8,11,S06,S06,Paya Lebar Meteorological Station,13.8,,31.0,22.4,8.1,46.4
2013-08-12,2013,8,12,S06,S06,Paya Lebar Meteorological Station,11.7,,31.7,22.2,9.4,27.7
2013-08-13,2013,8,13,S06,S06,Paya Lebar Meteorological Station,2.7,,29.0,22.7,10.0,38.9
2013-08-14,2013,8,14,S06,S06,Paya Lebar Meteorological Station,1.6,,30.1,26.4,9.0,27.7
2013-08-15,2013,8,15,S06,S06,Paya Lebar Meteorological Station,0.0,,31.7,26.1,13.5,31.3
2013-08-16,2013,8,16,S06,S06,Paya Lebar Meteorological Station,0.0,,31.2,26.0,14.1,33.5
2013-08-17,2013,8,17,S06,S06,Paya Lebar Meteorological Station,21.4,,32.1,24.2,6.8,25.9
2013-08-18,2013,8,18,S06,S06,Paya Lebar Meteorological Station,0.0,,31.6,24.3,4.2,14.8
2013-08-19,2013,8,19,S06,S06,Paya Lebar Meteorological Station,0.0,,32.4,26.0,5.6,20.5
2013-08-20,2013,8,20,S06,S06,Paya Lebar Meteorological Station,0.0,,31.6,26.5,4.0,20.5
2013-08-21,2013,8,21,S06,S06,Paya Lebar Meteorological Station,0.0,,31.2,27.1,5.4,16.6
2013-08-22,2013,8,22,S06,S06,Paya Lebar Meteorological Station,0.0,,32.5,27.2,5.7,16.6
2013-08-23,2013,8,23,S06,S06,Paya Lebar Meteorological Station,0.0,,32.2,27.2,6.1,16.6
2013-08-24,2013,8,24,S06,S06,Paya Lebar Meteorological Station,0.0,,33.0,27.3,6.1,16.6
2013-08-25,2013,8,25,S06,S06,Paya Lebar Meteorological Station,0.0,,32.8,27.1,7.6,18.4
2013-08-26,2013,8,26,S06,S06,Paya Lebar Meteorological Station,0.0,,30.5,26.7,5.8,16.6
2013-08-27,2013,8,27,S06,S06,Paya Lebar Meteorological Station,0.0,,32.4,27.5,11.7,31.3
2013-08-28,2013,8,28,S06,S06,Paya Lebar Meteorological Station,1.4,,32.0,24.7,10.4,48.2
2013-08-29,2013,8,29,S06,S06,Paya Lebar Meteorological Station,0.0,,32.1,25.4,9.0,40.7
2013-08-30,2013,8,30,S06,S06,Paya Lebar Meteorological Station,0.0,,32.0,25.9,9.1,42.5
